,level_0,index,Unnamed: 0,text,rating,time_created,Name,sentiment
250,250,2,2,"It's a little out of the way but worth it. Cute atmosphere, decent drinks and yummy hummingbird cookies. They have a decent selection of soup and sandwiches...",4,2014-12-23 15:48:46,Jennifer T.,Good
251,251,0,0,Great food and amazing prices! We felt right at home and loved every bite. I had the chicken strips and my husband got a burger - I was jealous. That thing...,5,2021-07-20 17:37:23,Sam L.,Good
252,252,1,1,"Missoula has changed a lot. I guess the shopping is better now, and you can find a lot more Starbucks. Marvin's hasn't changed so much, which is more than...",5,2021-10-08 23:03:36,Tamara M.,Good
253,253,2,2,Great burgers and wide selection of them. It was hard to make up my mind because they all sounded good. I ended up with the western burger and I added bacon...,5,2020-09-08 15:45:56,Jared V.,Good
254,254,0,0,"Who TF puts potatoes on pizza? 
This girl, that's who. 
Well, especially after a Totally Veegs pizza from Pie Hole.
The vegan roux gave a unique base sauce,...",5,2021-08-29 19:20:58,Veronica S.,Good
255,255,1,1,"Great hours, pretty good pizza, not that cheap.

Got the potato, bacon pizza the other night. The first time I had it, it blew my socks off. Loved it. This...",3,2021-05-21 08:35:55,Ariel B.,Bad
256,256,2,2,This place is awful. The cheesy garlic stix showed up as basically burnt cheese crisp. I don't understand how this got out of the kitchen. Awful restaurant.,1,2021-03-27 20:55:18,Matt S.,Bad
257,257,0,0,Called to place a to go order. Was interrupted and told that they're not taking to go orders any more because they close in 19 mins (although website says...,1,2021-08-13 18:13:47,David R.,Bad
258,258,1,1,"They have decent food at good prices. I've never tried their tacos, but their burritos are worth going for. For $7 you can get a very filling burrito, drink...",4,2019-10-23 13:46:32,Lisa W.,Good
259,259,2,2,"I had never been here...but they were so friendly and helpful. I ordered a shrimp taco with choices of shell, beans, sauce....was super tasty, not...",4,2020-10-11 18:16:32,Kelli J.,Good
260,260,0,0,10/10 their Thai tea and coffee boba and my favorite! The sushi is always so delicious and fresh with super friendly service!,5,2021-09-19 16:10:54,Morgan M.,Good
261,261,1,1,I can't believe people are giving this place 5 stars.  I guess if you are comparing it only to other mall sushi takeout places they do deserve 5 stars.  My...,3,2021-06-13 08:18:13,Bill T.,Bad
262,262,2,2,"Love this place, eat here at least once a week. Staff is nice, service is quick, sushi is good. I am gluten-free and they have egg noodles for ramen. Just...",4,2021-10-01 14:05:38,Kandy B.,Good
263,263,0,0,"I had the veggie waffle sandwich at the farmers market and it was insanely delicious! The sandwich had avocado spread, mozzarella, tomatoes, pesto, and red...",5,2018-09-23 14:45:18,Katie S.,Good
264,264,1,1,The man who owns this place is so friendly and helpful. What's even better is that the waffles are amazing and fresh! The options that they offer are...,5,2018-01-20 08:57:00,Clare C.,Good
265,265,2,2,Mmmm...Waffles is a food stand at the Clark Fork Farmers' Market (held on Saturday mornings from May - Oct in a parking lot across from the Wilma Theater)....,5,2017-05-13 08:09:36,Kelly C.,Good
266,266,0,0,"Not sure if there is more than one Deano's Travel Plaza, but I am specifically speaking to the one on exit 99 Missoula MT. 
My only complaint is that on the...",2,2021-08-08 09:03:33,M L.,Bad
267,267,1,1,Trash! Poor service high prices and rude people! I'll never be back. If you passing thru or live drive the 3 miles in either direction and get much better...,1,2021-04-13 07:08:44,David H.,Bad
268,268,2,2,"PSA  
I want everyone in and aroud the Missoula area that frequent Deanos Casino on North Reserve to know about the mold problem. Managers and owner were...",1,2017-06-19 17:02:42,Jaym M.,Bad
269,269,0,0,Yesterday was St. Paddy's Day and I was hungry for Corned Beef and Cabbage.  Didn't really want to do the downtown scene and Sean Kelly's place so we went...,3,2011-03-18 07:49:43,Judy Helm W.,Bad
270,270,1,1,"Atrocious! Ordered the prime rib sandwich. It was not a sandwich at all, but a hunk of meat on the cheapest white bread imaginable. The meat was over done...",1,2011-11-05 15:24:58,Myranda F.,Bad
